Word,Age Group,Difficulty Level
layering,9-10 years,Moderate
worshipper,11-12 years,Hard
unix,5-6 years,Moderate
beef,5-6 years,Moderate
monetize,9-10 years,Moderate
bleep,7-8 years,Moderate
mackerel,9-10 years,Moderate
insular,9-10 years,Moderate
highlander,11-12 years,Hard
articulated,11-12 years,Hard
immutable,11-12 years,Moderate
snub,5-6 years,Moderate
shuttle,9-10 years,Moderate
deranged,9-10 years,Moderate
tasteless,11-12 years,Moderate
onwards,9-10 years,Moderate
disparaging,11-12 years,Hard
welder,7-8 years,Moderate
crucible,9-10 years,Moderate
cob,5-6 years,Moderate
outhouse,9-10 years,Moderate
piper,7-8 years,Moderate
diagonally,11-12 years,Hard
amok,5-6 years,Moderate
rigidly,9-10 years,Moderate
override,9-10 years,Moderate
ciao,5-6 years,Moderate
prosecutorial,11-12 years,Hard
fluoride,9-10 years,Moderate
guardsman,11-12 years,Moderate
message,9-10 years,Moderate
uninvited,11-12 years,Moderate
necrosis,9-10 years,Moderate
cabal,7-8 years,Moderate
hippocampus,11-12 years,Hard
botany,7-8 years,Moderate
stilt,7-8 years,Moderate
personification,11-12 years,Hard
polka,7-8 years,Moderate
unplug,7-8 years,Moderate
ogre,5-6 years,Moderate
indentation,11-12 years,Hard
forerunner,11-12 years,Hard
tease,7-8 years,Moderate
corporal,9-10 years,Moderate
dragonfly,11-12 years,Moderate
tranquilizer,11-12 years,Hard
prefix,7-8 years,Moderate
thunderous,11-12 years,Hard
contort,9-10 years,Moderate
dismayed,9-10 years,Moderate
drapery,9-10 years,Moderate
rudeness,9-10 years,Moderate
charlatan,11-12 years,Moderate
deathly,9-10 years,Moderate
beefy,7-8 years,Moderate
de,5-6 years,Easy
hew,5-6 years,Moderate
signage,9-10 years,Moderate
unimpressed,11-12 years,Hard
tomography,11-12 years,Hard
chronicler,11-12 years,Hard
solver,7-8 years,Moderate
enjoin,7-8 years,Moderate
waffle,7-8 years,Moderate
hardcopy,9-10 years,Moderate
chromium,9-10 years,Moderate
alimony,9-10 years,Moderate
vehicular,11-12 years,Moderate
indefensible,11-12 years,Hard
romp,5-6 years,Moderate
forestall,11-12 years,Moderate
unwrap,7-8 years,Moderate
herder,7-8 years,Moderate
heartwarming,11-12 years,Hard
swig,5-6 years,Moderate
nonmedical,11-12 years,Hard
externalize,11-12 years,Hard
divider,9-10 years,Moderate
retort,7-8 years,Moderate
antipathy,11-12 years,Moderate
prosocial,11-12 years,Moderate
inexorable,11-12 years,Hard
salami,7-8 years,Moderate
capitulate,11-12 years,Hard
scrunch,9-10 years,Moderate
overzealous,11-12 years,Hard
gas,5-6 years,Moderate
overheated,11-12 years,Hard
snare,7-8 years,Moderate
steadfastly,11-12 years,Hard
blanch,7-8 years,Moderate
recollect,11-12 years,Moderate
filly,7-8 years,Moderate
harbour,9-10 years,Moderate
stateroom,11-12 years,Moderate
shredder,9-10 years,Moderate
dehumanize,11-12 years,Hard
trot,5-6 years,Moderate
rinse,7-8 years,Moderate
cleave,7-8 years,Moderate
overcast,9-10 years,Moderate
kuwaiti,9-10 years,Moderate
downloadable,11-12 years,Hard
derivation,11-12 years,Hard
wick,5-6 years,Moderate
raven,7-8 years,Moderate
bide,5-6 years,Moderate
nuzzle,7-8 years,Moderate
antibacterial,11-12 years,Hard
unraveled,11-12 years,Moderate
uncharacteristically,11-12 years,Hard
plausibility,11-12 years,Hard
oligarch,9-10 years,Moderate
subsidiary,11-12 years,Hard
flowery,9-10 years,Moderate
pusher,7-8 years,Moderate
skimpy,7-8 years,Moderate
class,7-8 years,Moderate
binge,7-8 years,Moderate
gobbler,9-10 years,Moderate
unstructured,11-12 years,Hard
treatable,11-12 years,Moderate
revolting,11-12 years,Moderate
radioactivity,11-12 years,Hard
coolant,9-10 years,Moderate
styrofoam,11-12 years,Moderate
chai,5-6 years,Moderate
idealize,9-10 years,Moderate
overeat,9-10 years,Moderate
untangle,9-10 years,Moderate
ambulatory,11-12 years,Hard
doodle,7-8 years,Moderate
unsupervised,11-12 years,Hard
checked,9-10 years,Moderate
stubbornness,11-12 years,Hard
ballistics,11-12 years,Hard
correspondingly,11-12 years,Hard
incomparable,11-12 years,Hard
backpack,9-10 years,Moderate
undoing,9-10 years,Moderate
blindfold,11-12 years,Moderate
excision,9-10 years,Moderate
corporeal,11-12 years,Moderate
fanaticism,11-12 years,Hard
prospectus,11-12 years,Hard
individualize,11-12 years,Hard
tiptoe,7-8 years,Moderate
unabashed,11-12 years,Moderate
bother,7-8 years,Moderate
posthumous,11-12 years,Hard
martian,9-10 years,Moderate
whiting,9-10 years,Moderate
covertly,9-10 years,Moderate
evacuee,9-10 years,Moderate
overcome,9-10 years,Moderate
photocopy,11-12 years,Moderate
insufficiently,11-12 years,Hard
morph,7-8 years,Moderate
weekly,7-8 years,Moderate
anon,5-6 years,Moderate
neckline,9-10 years,Moderate
flowering,11-12 years,Moderate
pug,5-6 years,Moderate
gilt,5-6 years,Moderate
sorbet,7-8 years,Moderate
pollination,11-12 years,Hard
sunlit,7-8 years,Moderate
viewfinder,11-12 years,Hard
webcam,7-8 years,Moderate
misogynistic,11-12 years,Hard
dusky,7-8 years,Moderate
curveball,11-12 years,Moderate
hyperactive,11-12 years,Hard
oversimplify,11-12 years,Hard
cheque,7-8 years,Moderate
myopic,7-8 years,Moderate
silhouette,11-12 years,Hard
suffuse,9-10 years,Moderate
cheeky,7-8 years,Moderate
toolkit,9-10 years,Moderate
desist,7-8 years,Moderate
lumbar,7-8 years,Moderate
dioxin,7-8 years,Moderate
generalizability,11-12 years,Hard
unhook,7-8 years,Moderate
fracturing,11-12 years,Hard
irritant,9-10 years,Moderate
connective,11-12 years,Hard
antiviral,11-12 years,Moderate
disembodied,11-12 years,Hard
boson,7-8 years,Moderate
peeling,9-10 years,Moderate
euphoric,9-10 years,Moderate
throwaway,11-12 years,Moderate
robustness,11-12 years,Hard
methanol,9-10 years,Moderate
expeditionary,11-12 years,Hard
boat,5-6 years,Moderate
helix,7-8 years,Moderate
ream,5-6 years,Moderate
snicker,9-10 years,Moderate
midlife,9-10 years,Moderate
agitator,9-10 years,Moderate
rigging,9-10 years,Moderate
carelessness,11-12 years,Hard
grotto,7-8 years,Moderate
metabolize,11-12 years,Hard
subliminal,11-12 years,Hard
webmaster,11-12 years,Moderate
generative,11-12 years,Hard
chisel,7-8 years,Moderate
molar,7-8 years,Moderate
savanna,9-10 years,Moderate
orderly,9-10 years,Moderate
kitty,7-8 years,Moderate
nontoxic,9-10 years,Moderate
snorkel,9-10 years,Moderate
xenophobia,11-12 years,Hard
mountaineer,11-12 years,Hard
snowshoe,9-10 years,Moderate
elongation,11-12 years,Hard
commenting,11-12 years,Hard
carer,7-8 years,Moderate
promiscuity,11-12 years,Hard
pet,5-6 years,Moderate
steer,7-8 years,Moderate
unaffiliated,11-12 years,Hard
courtier,9-10 years,Moderate
congruence,11-12 years,Hard
adjuster,9-10 years,Moderate
stepdaughter,11-12 years,Hard
tarragon,9-10 years,Moderate
communicating,11-12 years,Hard
aurora,7-8 years,Moderate
disenchanted,11-12 years,Hard
elitism,9-10 years,Moderate
hyper,7-8 years,Moderate
naively,9-10 years,Moderate
raspy,7-8 years,Moderate
influencer,11-12 years,Hard
incarnate,11-12 years,Moderate
bookkeeping,11-12 years,Hard
roughness,11-12 years,Moderate
hernia,7-8 years,Moderate
intergroup,11-12 years,Hard
hunted,7-8 years,Moderate
feverishly,11-12 years,Hard
dickhead,9-10 years,Moderate
vole,5-6 years,Moderate
incentivize,11-12 years,Hard
schmuck,9-10 years,Moderate
eskimo,7-8 years,Moderate
meow,5-6 years,Moderate
spook,7-8 years,Moderate
undemocratic,11-12 years,Hard
misconstrue,11-12 years,Hard
viewership,11-12 years,Hard
spectrometer,11-12 years,Hard
valedictorian,11-12 years,Hard
algal,7-8 years,Moderate
interreligious,11-12 years,Hard
afflicted,11-12 years,Moderate
mangled,9-10 years,Moderate
legalized,11-12 years,Moderate
despondent,11-12 years,Hard
unaccustomed,11-12 years,Hard
exegesis,9-10 years,Moderate
postman,9-10 years,Moderate
licensee,9-10 years,Moderate
clarion,9-10 years,Moderate
lust,5-6 years,Moderate
nesting,9-10 years,Moderate
programmable,11-12 years,Hard
ingrained,11-12 years,Moderate
autographed,11-12 years,Hard
outsized,9-10 years,Moderate
unabated,9-10 years,Moderate
hitman,7-8 years,Moderate
backswing,11-12 years,Moderate
intensified,11-12 years,Hard
moonlit,9-10 years,Moderate
progressivism,11-12 years,Hard
biggie,7-8 years,Moderate
surround,9-10 years,Moderate
bulimia,9-10 years,Moderate
sorghum,9-10 years,Moderate
arresting,11-12 years,Moderate
crafted,9-10 years,Moderate
meatloaf,9-10 years,Moderate
overcrowd,11-12 years,Moderate
squirt,7-8 years,Moderate
thirst,7-8 years,Moderate
hodgepodge,11-12 years,Hard
shoals,7-8 years,Moderate
entrapment,11-12 years,Hard
nationalization,11-12 years,Hard
lumbering,11-12 years,Moderate
abbot,7-8 years,Moderate
subspace,9-10 years,Moderate
replant,9-10 years,Moderate
osteoarthritis,11-12 years,Hard
locator,9-10 years,Moderate
nip,5-6 years,Moderate
revealed,9-10 years,Moderate
frostbite,11-12 years,Moderate
woodworking,11-12 years,Hard
diamondback,11-12 years,Hard
undiagnosed,11-12 years,Hard
puma,5-6 years,Moderate
dilation,9-10 years,Moderate
mmmm,5-6 years,Moderate
spongy,7-8 years,Moderate
acrid,7-8 years,Moderate
geisha,7-8 years,Moderate
decoding,9-10 years,Moderate
workmanship,11-12 years,Hard
knoll,7-8 years,Moderate
bios,5-6 years,Moderate
pedophilia,11-12 years,Hard
gleeful,9-10 years,Moderate
underbrush,11-12 years,Hard
none,5-6 years,Moderate
collectibles,11-12 years,Hard
frisk,7-8 years,Moderate
dyad,5-6 years,Moderate
musicianship,11-12 years,Hard
coptic,7-8 years,Moderate
restful,9-10 years,Moderate
windrow,9-10 years,Moderate
dazzle,7-8 years,Moderate
moccasin,9-10 years,Moderate
apostasy,9-10 years,Moderate
quicksand,11-12 years,Moderate
gnat,5-6 years,Moderate
bolshevik,11-12 years,Moderate
awed,5-6 years,Moderate
infirmity,11-12 years,Moderate
cursed,7-8 years,Moderate
icky,5-6 years,Moderate
tuscan,7-8 years,Moderate
refresher,11-12 years,Moderate
zigzag,7-8 years,Moderate
foible,7-8 years,Moderate
storehouse,11-12 years,Hard
imitator,9-10 years,Moderate
flatbed,9-10 years,Moderate
renovated,11-12 years,Moderate
core,5-6 years,Moderate
sweeper,9-10 years,Moderate
inoculation,11-12 years,Hard
stein,7-8 years,Moderate
trounce,9-10 years,Moderate
congestive,11-12 years,Hard
turmeric,9-10 years,Moderate
denominational,11-12 years,Hard
mucosa,7-8 years,Moderate
multiyear,11-12 years,Moderate
blinders,9-10 years,Moderate
behoove,9-10 years,Moderate
botox,7-8 years,Moderate
smoldering,11-12 years,Hard
condensate,11-12 years,Hard
spacer,7-8 years,Moderate
unselfish,11-12 years,Moderate
dipping,9-10 years,Moderate
levitate,9-10 years,Moderate
emotive,9-10 years,Moderate
mettle,7-8 years,Moderate
radicalization,11-12 years,Hard
unearned,9-10 years,Moderate
kelp,5-6 years,Moderate
paralegal,11-12 years,Moderate
spigot,7-8 years,Moderate
unmoving,9-10 years,Moderate
neoconservative,11-12 years,Hard
contented,11-12 years,Moderate
traipse,9-10 years,Moderate
waterboarding,11-12 years,Hard
cataclysm,11-12 years,Moderate
flamenco,9-10 years,Moderate
accelerometer,11-12 years,Hard
obelisk,9-10 years,Moderate
heaving,9-10 years,Moderate
kindergartner,11-12 years,Hard
cellophane,11-12 years,Hard
frigate,9-10 years,Moderate
photosynthetic,11-12 years,Hard
lawman,7-8 years,Moderate
sponge,7-8 years,Moderate
figurehead,11-12 years,Hard
transferable,11-12 years,Hard
invective,11-12 years,Moderate
remiss,7-8 years,Moderate
amazonian,11-12 years,Moderate
unsympathetic,11-12 years,Hard
clog,5-6 years,Moderate
deferential,11-12 years,Hard
stork,7-8 years,Moderate
telepathy,11-12 years,Moderate
aqueous,9-10 years,Moderate
praying,9-10 years,Moderate
holiday,9-10 years,Moderate
sawmill,9-10 years,Moderate
bowman,7-8 years,Moderate
servicing,11-12 years,Moderate
empiricism,11-12 years,Hard
heredity,9-10 years,Moderate
crisply,9-10 years,Moderate
warlock,9-10 years,Moderate
culpa,7-8 years,Moderate
starched,9-10 years,Moderate
licorice,9-10 years,Moderate
causeway,9-10 years,Moderate
recombinant,11-12 years,Hard
impeachable,11-12 years,Hard
derived,9-10 years,Moderate
exorcize,9-10 years,Moderate
etymology,11-12 years,Moderate
islet,7-8 years,Moderate
weedy,7-8 years,Moderate
biotic,7-8 years,Moderate
fermented,11-12 years,Moderate
investigating,11-12 years,Hard
bedevil,9-10 years,Moderate
croquet,9-10 years,Moderate
shifty,7-8 years,Moderate
ocr,5-6 years,Moderate
punching,9-10 years,Moderate
mongolian,11-12 years,Moderate
demure,7-8 years,Moderate
overheating,11-12 years,Hard
blight,7-8 years,Moderate
duplicity,11-12 years,Moderate
glyph,7-8 years,Moderate
perishable,11-12 years,Hard
hairpin,9-10 years,Moderate
ummm,5-6 years,Moderate
ferociously,11-12 years,Hard
enlightening,11-12 years,Hard
queer,7-8 years,Moderate
overcharge,11-12 years,Hard
rowboat,9-10 years,Moderate
hearted,9-10 years,Moderate
raunchy,9-10 years,Moderate
culvert,9-10 years,Moderate
parkway,9-10 years,Moderate
mulatto,9-10 years,Moderate
quibble,9-10 years,Moderate
tatters,9-10 years,Moderate
americanization,11-12 years,Hard
overstuffed,11-12 years,Hard
generated,11-12 years,Moderate
drivetrain,11-12 years,Hard
noncommittal,11-12 years,Hard
flabby,7-8 years,Moderate
misunderstood,11-12 years,Hard
ex,5-6 years,Easy
mediated,9-10 years,Moderate
turnstile,11-12 years,Moderate
petticoat,11-12 years,Moderate
carmine,9-10 years,Moderate
saltwater,11-12 years,Moderate
theism,7-8 years,Moderate
brazenly,9-10 years,Moderate
kudzu,7-8 years,Moderate
acidification,11-12 years,Hard
inverse,9-10 years,Moderate
olden,7-8 years,Moderate
happenstance,11-12 years,Hard
temporally,11-12 years,Hard
chalky,7-8 years,Moderate
mucosal,9-10 years,Moderate
unsurprising,11-12 years,Hard
portly,7-8 years,Moderate
deceleration,11-12 years,Hard
governess,11-12 years,Moderate
malay,7-8 years,Moderate
footman,9-10 years,Moderate
opportune,11-12 years,Moderate
mortally,9-10 years,Moderate
rebounder,11-12 years,Moderate
officeholder,11-12 years,Hard
functionary,11-12 years,Hard
armoire,9-10 years,Moderate
protease,9-10 years,Moderate
cordon,7-8 years,Moderate
ageless,9-10 years,Moderate
underrate,11-12 years,Moderate
cirrhosis,11-12 years,Moderate
ionize,7-8 years,Moderate
athenian,9-10 years,Moderate
arbitrage,11-12 years,Moderate
campy,7-8 years,Moderate
excommunicate,11-12 years,Hard
codex,7-8 years,Moderate
infamy,7-8 years,Moderate
formalism,11-12 years,Moderate
kelvin,7-8 years,Moderate
effeminate,11-12 years,Hard
shamrock,9-10 years,Moderate
filtered,9-10 years,Moderate
swampy,7-8 years,Moderate
tribalism,11-12 years,Moderate
freakish,9-10 years,Moderate
excoriate,11-12 years,Moderate
neurologic,11-12 years,Hard
watchtower,11-12 years,Hard
peck,5-6 years,Moderate
sacrosanct,11-12 years,Hard
singe,7-8 years,Moderate
libelous,9-10 years,Moderate
disassociate,11-12 years,Hard
torturer,9-10 years,Moderate
moonshine,11-12 years,Moderate
quack,7-8 years,Moderate
vitriolic,11-12 years,Moderate
bramble,9-10 years,Moderate
macroscopic,11-12 years,Hard
turner,7-8 years,Moderate
spoof,7-8 years,Moderate
offhand,9-10 years,Moderate
pinhead,9-10 years,Moderate
discoverer,11-12 years,Hard
polemical,11-12 years,Moderate
homeroom,9-10 years,Moderate
topaz,7-8 years,Moderate
dialogic,9-10 years,Moderate
bop,5-6 years,Moderate
admittance,11-12 years,Hard
toy,5-6 years,Moderate
prophylactic,11-12 years,Hard
ruffled,9-10 years,Moderate
reprise,9-10 years,Moderate
cheyenne,9-10 years,Moderate
ditty,7-8 years,Moderate
wench,7-8 years,Moderate
ocular,7-8 years,Moderate
integrator,11-12 years,Hard
bod,5-6 years,Moderate
cymbal,7-8 years,Moderate
hoarder,9-10 years,Moderate
obligated,11-12 years,Moderate
bugle,7-8 years,Moderate
anointed,9-10 years,Moderate
monthly,9-10 years,Moderate
unsay,7-8 years,Moderate
conformation,11-12 years,Hard
identically,11-12 years,Hard
retrofit,9-10 years,Moderate
curate,7-8 years,Moderate
framing,9-10 years,Moderate
soundness,11-12 years,Moderate
peasantry,11-12 years,Moderate
plotline,9-10 years,Moderate
leaden,7-8 years,Moderate
pizzeria,9-10 years,Moderate
prior,7-8 years,Moderate
minotaur,9-10 years,Moderate
scorching,11-12 years,Moderate
advance,9-10 years,Moderate
flagstone,11-12 years,Moderate
carburetor,11-12 years,Hard
ungainly,9-10 years,Moderate
ageing,7-8 years,Moderate
sunbathe,9-10 years,Moderate
chipotle,9-10 years,Moderate
councilor,11-12 years,Moderate
binocular,11-12 years,Moderate
introduced,11-12 years,Hard
cityscape,11-12 years,Moderate
unimpeded,11-12 years,Moderate
attire,7-8 years,Moderate
unceremoniously,11-12 years,Hard
nonexistence,11-12 years,Hard
enslaved,9-10 years,Moderate
apocryphal,11-12 years,Hard
judging,9-10 years,Moderate
corrective,11-12 years,Hard
toner,7-8 years,Moderate
mayan,7-8 years,Moderate
slough,7-8 years,Moderate
gradation,11-12 years,Moderate
quilt,7-8 years,Moderate
whorehouse,11-12 years,Hard
actin,7-8 years,Moderate
invulnerable,11-12 years,Hard
cheapen,9-10 years,Moderate
listserv,9-10 years,Moderate
ultralight,11-12 years,Hard
competently,11-12 years,Hard
cream,7-8 years,Moderate
nameplate,11-12 years,Moderate
prude,7-8 years,Moderate
bandana,9-10 years,Moderate
impactful,11-12 years,Moderate
mic,5-6 years,Moderate
demotion,9-10 years,Moderate
gentlemanly,11-12 years,Hard
beady,7-8 years,Moderate
procreate,11-12 years,Moderate
oomph,7-8 years,Moderate
lakeside,9-10 years,Moderate
russet,7-8 years,Moderate
parentage,11-12 years,Moderate
joblessness,11-12 years,Hard
skeptically,11-12 years,Hard
surrealist,11-12 years,Hard
portent,9-10 years,Moderate
imbed,7-8 years,Moderate
favela,7-8 years,Moderate
synch,7-8 years,Moderate
birder,7-8 years,Moderate
programmed,11-12 years,Hard
discolored,11-12 years,Hard
knockdown,11-12 years,Moderate
riverfront,11-12 years,Hard
instigator,11-12 years,Hard
militaristic,11-12 years,Hard
insubordination,11-12 years,Hard
misidentify,11-12 years,Hard
thai,5-6 years,Moderate
nag,5-6 years,Moderate
uncounted,11-12 years,Moderate
retry,7-8 years,Moderate
equanimity,11-12 years,Hard
bellwether,11-12 years,Hard
locksmith,11-12 years,Moderate
christening,11-12 years,Hard
paraphrase,11-12 years,Hard
terraced,9-10 years,Moderate
amicus,7-8 years,Moderate
ukulele,9-10 years,Moderate
reincarnate,11-12 years,Hard
bygone,7-8 years,Moderate
wend,5-6 years,Moderate
undies,7-8 years,Moderate
ibis,5-6 years,Moderate
mend,5-6 years,Moderate
overconfident,11-12 years,Hard
unscripted,11-12 years,Hard
roundtable,11-12 years,Hard
fore,5-6 years,Moderate
regimental,11-12 years,Hard
soldier,9-10 years,Moderate
balloting,11-12 years,Moderate
puppeteer,11-12 years,Moderate
hippocampal,11-12 years,Hard
impetuous,11-12 years,Moderate
ineffectiveness,11-12 years,Hard
koala,7-8 years,Moderate
overrepresented,11-12 years,Hard
hatchback,11-12 years,Moderate
distrustful,11-12 years,Hard
fryer,7-8 years,Moderate
pluralist,11-12 years,Moderate
inhumanity,11-12 years,Hard
endometrial,11-12 years,Hard
trapeze,9-10 years,Moderate
puritanical,11-12 years,Hard
thrashing,11-12 years,Moderate
roux,5-6 years,Moderate
churchyard,11-12 years,Hard
parasol,9-10 years,Moderate
unblemished,11-12 years,Hard
electable,11-12 years,Moderate
haiku,7-8 years,Moderate
vacillate,11-12 years,Moderate
firebrand,11-12 years,Moderate
enumeration,11-12 years,Hard
fair,5-6 years,Moderate
depredation,11-12 years,Hard
ruffian,9-10 years,Moderate
analytically,11-12 years,Hard
individuation,11-12 years,Hard
dimpled,9-10 years,Moderate
flavonoid,11-12 years,Moderate
rhapsody,9-10 years,Moderate
rue,5-6 years,Moderate
chortle,9-10 years,Moderate
tanning,9-10 years,Moderate
icebox,7-8 years,Moderate
federated,11-12 years,Moderate
potpourri,11-12 years,Moderate
airless,9-10 years,Moderate
freckle,9-10 years,Moderate
comorbidity,11-12 years,Hard
napa,5-6 years,Moderate
townsfolk,11-12 years,Moderate
pawnshop,9-10 years,Moderate
buss,5-6 years,Moderate
fanbase,9-10 years,Moderate
hunchback,11-12 years,Moderate
transgendered,11-12 years,Hard
nonchalance,11-12 years,Hard
yoruba,7-8 years,Moderate
alabaster,11-12 years,Moderate
drowned,9-10 years,Moderate
incorporated,11-12 years,Hard
chiseled,9-10 years,Moderate
cosmonaut,11-12 years,Moderate
americanism,11-12 years,Hard
gangbanger,11-12 years,Hard
nonalcoholic,11-12 years,Hard
killin,7-8 years,Moderate
antiwar,9-10 years,Moderate
fiefdom,9-10 years,Moderate
bridegroom,11-12 years,Hard
monorail,9-10 years,Moderate
skateboarder,11-12 years,Hard
surfing,9-10 years,Moderate
dereliction,11-12 years,Hard
preppy,7-8 years,Moderate
whirling,9-10 years,Moderate
glute,7-8 years,Moderate
stealthily,11-12 years,Hard
paperweight,11-12 years,Hard
uncommitted,11-12 years,Hard
revisionism,11-12 years,Hard
crewmember,11-12 years,Hard
overlooked,11-12 years,Hard
menorah,9-10 years,Moderate
absentmindedly,11-12 years,Hard
luck,5-6 years,Moderate
reefer,7-8 years,Moderate
valise,7-8 years,Moderate
ebullient,11-12 years,Moderate
biochar,9-10 years,Moderate
scalp,7-8 years,Moderate
reintegrate,11-12 years,Hard
greenbelt,11-12 years,Moderate
afterglow,11-12 years,Moderate
ennui,7-8 years,Moderate
pontificate,11-12 years,Hard
minaret,9-10 years,Moderate
battlement,11-12 years,Hard
gamete,7-8 years,Moderate
obtainable,11-12 years,Hard
serotype,9-10 years,Moderate
advertised,11-12 years,Hard
sanctification,11-12 years,Hard
calculating,11-12 years,Hard
loveliness,11-12 years,Hard
perplexity,11-12 years,Hard
postulate,11-12 years,Moderate
fluted,7-8 years,Moderate
toga,5-6 years,Moderate
sartorial,11-12 years,Moderate
dappled,9-10 years,Moderate
melt,5-6 years,Moderate
innovating,11-12 years,Hard
lob,5-6 years,Moderate
canonization,11-12 years,Hard
unvaccinated,11-12 years,Hard
collegiality,11-12 years,Hard
reattach,9-10 years,Moderate
decontamination,11-12 years,Hard
pileup,7-8 years,Moderate
radiocarbon,11-12 years,Hard
landless,9-10 years,Moderate
abridge,9-10 years,Moderate
constitutionalism,11-12 years,Hard
ponderosa,11-12 years,Moderate
grouchy,9-10 years,Moderate
retrial,9-10 years,Moderate
bonehead,9-10 years,Moderate
beanie,7-8 years,Moderate
intramural,11-12 years,Hard
minnesotan,11-12 years,Hard
servile,9-10 years,Moderate
tropic,7-8 years,Moderate
bedfellow,11-12 years,Moderate
goalpost,9-10 years,Moderate
smut,5-6 years,Moderate
catalan,9-10 years,Moderate
swoon,7-8 years,Moderate
masseuse,9-10 years,Moderate
dither,7-8 years,Moderate
nondenominational,11-12 years,Hard
staphylococcus,11-12 years,Hard
enticement,11-12 years,Hard
birthing,9-10 years,Moderate
bezel,7-8 years,Moderate
folktale,9-10 years,Moderate
dodo,5-6 years,Moderate
niacin,7-8 years,Moderate
sucker,7-8 years,Moderate
providential,11-12 years,Hard
typhus,7-8 years,Moderate
unappreciated,11-12 years,Hard
bonsai,7-8 years,Moderate
topological,11-12 years,Hard
fictionalized,11-12 years,Hard
feigned,9-10 years,Moderate
inverter,9-10 years,Moderate
backstroke,11-12 years,Hard
superdelegate,11-12 years,Hard
verbiage,9-10 years,Moderate
emaciated,11-12 years,Moderate
asiatic,9-10 years,Moderate
instep,7-8 years,Moderate
brawn,7-8 years,Moderate
uncluttered,11-12 years,Hard
troika,7-8 years,Moderate
downwind,9-10 years,Moderate
extractive,11-12 years,Hard
hermeneutic,11-12 years,Hard
ding,5-6 years,Moderate
recyclable,11-12 years,Hard
driverless,11-12 years,Hard
sidearm,9-10 years,Moderate
prescribing,11-12 years,Hard
derisively,11-12 years,Hard
hatching,9-10 years,Moderate
needful,9-10 years,Moderate
globalize,11-12 years,Moderate
zimbabwean,11-12 years,Hard
communitarian,11-12 years,Hard
tartan,7-8 years,Moderate
harasser,9-10 years,Moderate
entomb,7-8 years,Moderate
parotid,9-10 years,Moderate
inveterate,11-12 years,Hard
ritually,9-10 years,Moderate
scurvy,7-8 years,Moderate
inactivate,11-12 years,Hard
candelabra,11-12 years,Hard
vassal,7-8 years,Moderate
howler,7-8 years,Moderate
coffeemaker,11-12 years,Hard
intentioned,11-12 years,Hard
racquetball,11-12 years,Hard
wicket,7-8 years,Moderate
convocation,11-12 years,Hard
seance,7-8 years,Moderate
altarpiece,11-12 years,Hard
seltzer,9-10 years,Moderate
priory,7-8 years,Moderate
loosening,11-12 years,Moderate
banquette,11-12 years,Moderate
emotionless,11-12 years,Hard
prefigure,11-12 years,Moderate
booming,9-10 years,Moderate
coherently,11-12 years,Hard
jaundiced,11-12 years,Moderate
cyclops,9-10 years,Moderate
stingray,9-10 years,Moderate
germplasm,11-12 years,Moderate
massed,7-8 years,Moderate
instrumentality,11-12 years,Hard
deluge,7-8 years,Moderate
westernized,11-12 years,Hard
petting,9-10 years,Moderate
slicer,7-8 years,Moderate
imprudent,11-12 years,Moderate
outrank,9-10 years,Moderate
stapler,9-10 years,Moderate
hooky,7-8 years,Moderate
historicity,11-12 years,Hard
escapist,9-10 years,Moderate
itching,9-10 years,Moderate
phishing,9-10 years,Moderate
schnapps,9-10 years,Moderate
coot,5-6 years,Moderate
fashionably,11-12 years,Hard
maimed,7-8 years,Moderate
hypodermic,11-12 years,Hard
gaily,7-8 years,Moderate
frankness,11-12 years,Moderate
daunt,7-8 years,Moderate
freestanding,11-12 years,Hard
immunosuppressive,11-12 years,Hard
litigious,11-12 years,Moderate
loveless,9-10 years,Moderate
plover,7-8 years,Moderate
apostate,9-10 years,Moderate
humbled,9-10 years,Moderate
veep,5-6 years,Moderate
bumbling,9-10 years,Moderate
intubation,11-12 years,Hard
arian,7-8 years,Moderate
remit,7-8 years,Moderate
minty,7-8 years,Moderate
ejaculate,11-12 years,Moderate
masochism,11-12 years,Moderate
readjustment,11-12 years,Hard
cation,7-8 years,Moderate
mimosa,7-8 years,Moderate
cohabit,9-10 years,Moderate
shiitake,9-10 years,Moderate
irreparably,11-12 years,Hard
speeder,9-10 years,Moderate
socialistic,11-12 years,Hard
biome,7-8 years,Moderate
pillory,9-10 years,Moderate
yip,5-6 years,Moderate
pontifical,11-12 years,Hard
occipital,11-12 years,Moderate
hayride,9-10 years,Moderate
argon,7-8 years,Moderate
docent,7-8 years,Moderate
kingfisher,11-12 years,Hard
cartographic,11-12 years,Hard
lout,5-6 years,Moderate
sodomize,9-10 years,Moderate
abortionist,11-12 years,Hard
glutamate,11-12 years,Moderate
quizzically,11-12 years,Hard
criminalization,11-12 years,Hard
unheated,9-10 years,Moderate
alkali,7-8 years,Moderate
cytoplasmic,11-12 years,Hard
stepmom,9-10 years,Moderate
tartar,7-8 years,Moderate
drenched,9-10 years,Moderate
balustrade,11-12 years,Hard
railroad,9-10 years,Moderate
kosovar,9-10 years,Moderate
comorbidities,11-12 years,Hard
reply,7-8 years,Moderate
penitent,9-10 years,Moderate
improv,7-8 years,Moderate
activator,11-12 years,Moderate
leaping,9-10 years,Moderate
fenced,7-8 years,Moderate
